Date Released,Song Title,Artist(s),Target(s),Year Released,lyrics
1994,"""Bitch With A Perm""",Tim Dog,Snoop Dogg,1994,
16-Jun-95,"""D.S.""",Michael Jackson,Tom Sneddon,1995,
4-Jul-95,"""I'll Stick Around""",Foo Fighters,Courtney Love,1995,"I thought I knew all it took to bother you
every word I said was true that you'll see
how could it be I'm the only one who sees your rehearsed insanity
I still refuse all the methods you've abused

it's all right if you're confused let me be



I've been around all the pawns

you've gagged and bound

they'll come back and knock you down and i'll be free



I've taken all and I've endured

one day it all will fade

I'm sure



I don't owe you anything



I had no other hand in your ever desperate plan

it returns and when it lands words are due



I should've known we were better off alone

I looked in and I was shown

you were too



I've taken all and I've endured

one day it all will fade

I'm sure



I don't owe you anything



I'll stick around and learn

from all that came from it"
1996,"""L.A., L.A.""",Capone-N-Noreaga feat. Mobb Deep And Tragedy Khadafi,"Tha Dogg Pound, Bone Thugs-N-Harmony and the Los Angeles hip hop scene",1996,
4-Jun-96,"""Hit 'Em Up""",Tupac Shakur feat. The Outlawz,"Lil Kim, Mobb Deep, Sean Combs, Bad Boy Records & the Notorious B.I.G.",1996,
25-Aug-96,"""Drop a Gem on 'Em""",Mobb Deep,Tupac Shakur,1996,"It's the infamous back in the house once again
Livin the life that of diamonds and guns
and now gems pulls gats
like a basehead pulls on stems
the Mobb got the bomb run out and tell a friend
Drop A Gem On Em..



Verse One: Havoc



Take a tire, all these fake crooks need to retire

they gotcha gassed, takin back and snatch fire outcha

maggot ass, Havoc represent for the Q-B-C

smoke that ass like a lucie..tho I need to quit

fuck it, I love it like a cloud

over the projects your game Im above it

its combat, gats bangers and all that

you'se a small cat, whatever you on get off that

I mention, nuthin but the real shit presentin

the hollow tip crew 41st side convention

try for? you half-steppin

like a fresh tec out of the box

yo niggas I'm testin

(There's no question)

bitch ass have you confessin

like a D-T left in state of depression

you under pressure, intact no doubt catcher

the snitch-snatcher tookin wit asthma

you casper, you yell my name

thats only givin me props

plus the fans that you got, wonderin whats got you hot

its too not, knocked out the box and got rocked

got raped on the Island, you officially got

kick that thug shit, Vibe magazine on some love shit

(keep it real kid, you don't know who you fuckin wit)



Chorus: repeat 2X



It's the Infamous back in the house once again

Livin the life that of diamonds and guns

and now gems pull gats like a basehead pull on stems

the Mobb got the bomb run out and tell a friend

Drop A Gem On Em



Verse Two: Prodigy



Yeah likewise, Im tired of rap guys whose faggots

pure shuteye, and swole up your whole outside

I baptize, niggas get wet, put up your backside

your claptized and set straight, put on your head straight

watch out for, 

these upstate cats be leary of you 

yeddy niggas wit gats plus the walls on they backs

Rikers Island flashback of the house you got scuffed it in

you would think you gettin your head shot was enough but then

Now you wanna got at my team, 

you must of been drunk when you wrote that shit

too bad you had to did it to your own self

my rebellion, I retaliate, I had the whole New York state

aimin at your face

at the gate, bottom line of top soon as you came through

shot through, don't even know the half of my crew

I got a hundred strong arm niggas ready to rock the shit

clocks tick, your days are numbered in low digits

you look suspicious, suspect niggas is bitches

get chppoed up, Grade A meat, somethin delicious

and laced back up, 2 G's, one for stitches

then reconstruct your face and learn how to speak again

my Mobb's like a bunch of wild Puerto Ricans

wit bangers the size of African spears

it's warfare in the arena, you turn arenas into house of horrors

its terrodome, when you see my click you need to run behind shit

you gotta gat you betta find it

and use that shit think fast and get reminded

of robberies in Manhattan you knew what happened

60 g's and one for gun clappin

Who Shot Ya? You'd probably scream louder than an opera

New York gotcha, now you wanna use my mob as a crutch

what makes you think you cant get bucked again

Once again, back in the house once again

live the life that of diamonds and guns

and now gems pull gats like a basehead pull on stems

the Mobb got the bomb run out and tell a friend

Its the Infamous.."
1996,"""The Bitch in Yoo""",Common,"Ice Cube, Mack 10 and WC",1996,"(Yeah for your nation... 

For your nation...) 

Verse One: 


A bitch nigga wit an attitude named Cube 



Step to Com wit a feud 



Now what the fuck I look like dissing a whole coast 



You ain't made shit dope since AmeriKKKa's Most 



Wanted to cease from the Midwest to the East 



On the dick of the East for your 1st release 



Your lease is up at the crib house niggaz get evicted 



And videos wit white boys talking you get Wicked 



Natural Born Killa, nigga you natural born God 



Look, read listen, got the nerve to say you rob 



Hyprocrite, I'm filling out your Death Certificate 



Slanging bean pies and St Ide's in the same sentence 



Shoulda repented, on the 16th of October 



Get some beats besides George Clinton to rock over 



Rap career is over, better off acting 



What trouble I see, you're managing WC and Wack 10 



You backed in to a four corner hustla 



Lying on your dick, said you was fuckin her 



Use Higher Learning, don't take my words out of text 



Went from gangsta to Islam to the dick of Das EFX 



It'll take the Nation of Millions to Hold Me Back 



From giving you mouth shots or hit wit the pipe Ralph got 



When sucker ain't around, it's your Friday, it was good 



I wasn't salty, she was wit the Boyz N the Hood 



Chorus: 



I see the bitch in you when you don't speak your mind 



The bitch in you, looking me in my eyes lyin 



I see the bitch in you, simply hard, you find 



The bitch in you but yo it's coming out 



Verse Two: 



Up on this rap shit, Cube, I'm calling out 



I break in and smack niggaz that's in the Slaughterhouse 



This ain't no East coast, West coast, none of the above 



I'm from Chi, I went to Cali, niggaz gave me love 



There's a thin line between the fake and the real 



Grafted ass nigga, I see through your Glass Shield 



Had skills once upon a time on this project, yo 



I'm a have ta wreck a Ho'shea 



I heard a ho say you her favorite rapper 



(So what) so I had to slap her, ugn 



And violate you, a Muslim drinking brew 



Your nigga ain't no Mack 10, he's a 22 



I seen you, you ain't say shit to ATL 



Cube, I like that diamond charm, I might cuff it, then sell 



It out, like you sold Kam and Threat 



A year ago, you wasn't talking shit about the West 



Guess you knew you're shit was done plus the one got you cable 



Hoo Bangin, you ain't banging shit but the table 



And the Circle Madd, ain't got no choice but to fight 



Ain't none of y'all muthafukas got a chance on the mic 



Anytime you come out, yo, I'm a talk about you 



Until you let that bitch in you, walk up out you 



Any last words before I hit the switch 



From the immortal words of one, a bitch is a bitch 



Chorus"
26-Sep-96,"""Against All Odds""",Tupac Shakur,"Nas, Mobb Deep, Haitian Jack, Sean ""Puffy"" Combs, Jimmy Henchman, King Tut, Stretch, De La Soul, Jay-Z, Notorious B.I.G., Q-Tip, Kool G Rap, King Sun and Dr. Dre",1996,"One love, one love, one thug
One nation, twenty-one gun salute
I'm hopin my true motherfuckers know
This be the realest shit I ever wrote
Against all odds, up in the studio, gettin blowed

To the truest shit I ever spoke



Twenty-one gun salute, dressed in fatigue, black jeans and boots

Disappeared in the crowd, all you seen was troops

This little nigga named Nas thinks he live like me

Talkin bout he left the hospital took five like me

You living fantasies, nigga I reject your deposit

We shook Dre punk ass, now we out of the closet

Mobb Deep wonder why nigga blowed them out

Next time grown folks talk, nigga close your mouth

Peep me, I take this war shit deeply

Done seen too many real players fall to let these bitch niggas beat me

Puffy lets be honest you a punk or you will see me with gloves

Remember that shit you said to Vibe about me bein a thug

You can tell the people you roll with whatever you want

But you and I know what's going on

Payback, I knew you bitch niggas from way back

Witness me strapped with Macs, knew I wouldn't play that

All you old rappers trying to advance

It's all over now, take it like a man

Niggas lookin like Larry Holmes, flabby and sick

Tryin to player hate on my shit, you eat a fat dick

Let it be known this is how you made me

Lovin how I got you niggas crazy



Against all odds

Hopin my thug motherfuckers know

This be the realest shit I ever wrote

Against all odds, up in the studio, gettin blowed

To the truest shit I ever spoke, against all odds

Hopin my true motherfuckers know

This be the realest shit I ever wrote



I heard he was light skinned, stocky with a Haitian accent

Jewelery, fast cars and he's known for flashing (What's his name???)

Listen while I take you back (NIGGA SAY HIS NAME!) and lace this rap

A real live tale about a snitch named Haitian Jack

Knew he was workin for the feds, same crime, different trials

Nigga, picture what he said, and did I mention

Promised a payback, Jimmy Henchman, in due time

I know you bitch niggas is listenin, The World Is Mine

Set me up, wet me up, niggas stuck me up

Heard the guns bust but you tricks never shut me up

Touch one of mine on everything I own

I'll destroy everything you touch, play the game nigga

All out warfare, eye for eye

Last words to a bitch nigga, ""WHY YOU LIE?!?""

Now you gotta watch your back, now watch your front

Here we come, gunshots too Tutt, now you stuck

Fuck the rap game, nigga this M-O-B

So believe me we enemies, I go against all odds



I'm hopin my true motherfuckers know

This be the realest shit I ever wrote

Against all odds, up in the studio, gettin blowed

To the truest shit I ever spoke

I'm hopin my true motherfuckers know

This be the realest shit I ever wrote

Against all odds



Puffy gettin robbed like a bitch, to hide the fact

he did some shit he shouldn't have did, so we ride em for that

And that nigga that was down for me, restin dead

Switch sides, guess his new friends wanted him dead

Probably be murdered for the shit that I said

I bring the real, be a legend, breathin the dead

Lord listen to me

God don't like ugly, It Was Written

(ey yo Nas) Nas, your whole damn style is bitten 

You heard my melody, read about my life in the papers

All my run-ins with authorities, felonious capers

Now you wanna live my life, so what's the answer Nas?

Niggas that don't rhyme right, you've seen too many movies

Load em up against the wall, close his eyes

Since you lie you die, GOODBYE

Let the real live niggas hear the truth from me

What would you do if you was me nigga



Against all odds

I'm hopin my true motherfuckers know

This be the realest shit I ever wrote

Against all odds, up in the studio, gettin blowed

To the truest shit I ever spoke

[repeat]



Against all odds

[Twenty-one gun salute]

One love to my true thug niggas (Outlaw! Outlaw! Outlaw!)

Twenty-one gun salute to my niggas that die in the line of duty

Representin to the fullest bein soldiers with military minds

that play the rules of the game, twenty-one gun salute

I salute you my niggas, stay strong

I ride for you, I rhyme for you, I roll for you, it's all for you

To all you bitch made niggas, I'm comin for you

Against all odds, I don't care who the fuck you is, nigga

You touch me I'm at you

I know you motherfuckers think that I forgot

Hell no I ain't forgot nigga

I just remember what you told me

You said don't go to war unless I got my money behind me

Aight, I got my money right here, now I want war"
26-Sep-96,"""Intro/ Bomb First (My Second Reply)""",Tupac Shakur,"Nas, Notorious B.I.G., Jay-Z, Mobb Deep, Big L and Xzibit",1996,
26-Sep-96,"""Toss It Up""",Tupac Shakur,"Dr. Dre, Puffy, Lil Kim, Notorious B.I.G., Blackstreet and Teddy Riley",1996,"[Tupac]
The money behind the dreams
My right hand, my other Capo in this big motherfuckin war we got
My other Capo in this big ass, conglomerate called Death Row
Snoop motherfuckin Dogg, Tha Doggfather
And who he comin through right now, Makaveli the Don

Feel this, Killuminati



(Toss it up!)

Lord have mercy, father help us all

Since you supllied yo' phone number, I can't help but call

Time for action, conversatin, we relaxin, kickin back

Got you curious for Thug Passion, now picture that

Tongue kissin, hand full of hair, look in my eyes

Time to make the bed rock, baby look how it rise

Me and you movin in the nude, do it in the living room

Sweatin up the sheets, it's the Thug in me

I mean no disrespectin when I tongue kiss your neck

I go a long way to get you wet, what you expect

Late night, hit the highway, drop the top

I pull over, gettin busy in the parking lot

And don't you love it how I lick your, hips and glide

Kiss you soft on your stomach, push my love inside

Got ya lost in a love zone, stuck in the lust

I got the bedroom shakin back-breakin when we're tossin it up



[K-Ci, JoJo]

In this baby, I like the way it's goin down

When all that is around, slip slide ride

Givin me love nice like

Female I like, what I wanna give all night

You and me alone everybody's gone toss it up

Baby let's, get it on!

I like the way you please me, babe

The sexy way you tease me, sugar

The way you move your body

It really drives me crazy

Your body hypnotizing, your smell is so exciting

So baby come on home with me, I like the way you give it to me!



Chorus: K-Ci, JoJo



I like the way you give it to me -- let me see you toss it up

(repeat 4X w/ variations)

Play on, play on, play on, play on, play onnnn!

(repeat 4X w/ variations)



[K-Ci, JoJo]

Ohhh, it's K-Ci baby, mmm that want you lady

Ohhh, don't act so shady, baby your taste as fine as gravy

The way you move that thang, you make me wanna sang

Girl you make my bells rang, make them go ting-a-ling!

Now the man, I'm here again

Don't worry to ever end

It's feeling too good

Gimme some more, oh lady lady

Your body the kind I like-ah

Big booty to the lung delight-ah

Bag it up yo, let me in there

Toss it up for me!!



Chorus 1/2



[Tupac]

Do you want me what's your phone number, I get around

Cali Love to my true Thugs, picture me now

Still down for that Death Row sound, searchin for paydays

No longer Dre Day, arrivederci

Blown and forgotten, rotten for plottin Child's Play

Check your sexuality, as fruity as this Alize

Quick to jump ship, punk trick, what a dumb move

Cross Death Row, now who you gon' run to?

Lookin for suckers cause you similar

Pretendin to be hard, oh my God, check your temperature

Screamin Compton, but you can't return, you ain't heard

Brothers pissed cause you switched and escaped to the burbs

Mob on to this new era, cause we Untouchable

Still can't believe that you got 'Pac rushin you

Up in you, bless the real, all the rest get killed

Who can you trust, only time reveals -- toss it up!



Chorus w/ variations



[Tupac]

Play on playa, play on

How can some non-players do a song about Compton

and then wanna do a player song?

How can non-players do it? (We not little kids, we not playin)

Tellin lies, who?

Puffy, I read your little interview buddy, c'mon

You still ain't touchin us, all that peace talk

I don't care if you kiss my ass from here to across the street boy

It's on

Toss it up, we took you on, and we took y'all beat

You know we beat you down, and we took y'all beat

Cause you wasn't rockin it right

Tired of suckers rockin it, toss it up, is how we did it

Yeah, toss it up now!"
1996,"""I Shot Ya""",DMX,Tupac Shakur,1996,
25-Mar-97,"""Kick in the Door""",The Notorious B.I.G.,"Nas, Jeru the Damaja, Raekwon, Ghostface Killah, 2Pac, O.G.C. and even the track's producer DJ Premier",1997,
1998,"""Tupeu de borfaÈ""",La Familia,"R.A.C.L.A., Getto Daci",1998,
10-Feb-98,"""Get At Me Dog""",DMX,"K-Solo, 2Pac",1998,"[DMX, (Sheek)]
(Yea I'm right here dog) Where my dogs at
(We right here dog) Where my dogs at
(I'm right here dog)
[DMX]

What must I go through to show you shit is real

And I ain't really never gave a fuck how niggaz feel

Rob then I steal, not cause I want to cause I have to

And don't make me show you with the Magnum

If you don't know by now then you slippin

I'm on some bullshit thats got me jackin, niggaz flippin

I got my man and them stay pretty like I'ma stay shitty

Crimey it's all for the money is you wit me

Hit the bitches, went out I could make the crime

And when it's on we transform like Optimus Prime

I'll form the head, roll out let's make it happen

If we ain't gonna get it wit them we'll take the cap down

Bust it off, gust it off on the softest niggaz

Money with the biggest mouth, yo let's rob this nigga

A novice nigga never made a sound

Breath too fuckin hard like you gettin bust down



[Hook : Sheek (DMX)]

Yo, yo ya n...az wanna be killers (get at me dog)

Ya n...az wanna feel us (get at me dog)

Ya n...az want the real (Get at me dog)



[DMX]

Rrrrrr arf arf what the deal



[Hook]



[DMX]

Rrrrrr arf arf what the deal

Nowadays, Don't get to good for certain niggaz, I'm hurtin niggaz

What you doin robbin niggaz, jerkin niggaz, stickin niggaz

Cause they deserve it; with money got murdered

They know we died slow if they heard it

The nigga there blew up the spot a while

and the mother fucker ain't got shot in a while

And the stacks will light up, will fuck the night up

blow everything in sight up

fuck around and I'll have your ass right up

What makes you think, you wasn't able to stand

I got shit that'll disable a man with the wave of a hand

The days are longer and seems like I'm wastin time

I've got a lot of dreams but I'm not really chasin mine

I suck it all up like a sicka fly

Cause nowadays gettin' by, nothing more than an occasional meal and

gettin high, I live to die, That's where I'm headed

Let your man hold somethin, now it's all about you can get it



[Hook]



[DMX]

Rrrrrr arf arf what the deal

Well in the back wit ya faggot ass face down

Lucky that you breathin but you dead from the waste down

The fuck is on your mind? Talkin that shit that you be talkin

And I bet you wish you never got hit cause you be walkin

But shit happens and fuck it, you would of did ya dirt

niggaz is wonderin how the fuck you hid your skirt

Right under they eyes like a surprise to the guys

just one of their mans was a bitch in disguise

fuckin with cats in order heads and slaughter more kids

Let me hollar at you all that wanna borrow the raw shit (ah-oh!)

Knahmean? I'm just robbin to eat

And there's at least a thousand of us like me mobbin the street

When we starve and we eat whatever's there

Come on you know the code in the street, whatever's fair

Blood stains and chalk, cause yo man couldn't walk

After the talk, heard him out at 1133 of New York

Transformin us niggaz so get it quick

You know for real that nigga can't fuckin suck my dick

And it's gon' take all these niggaz in the rap game

to barely move me, cause when I blow s..t up

I have niggaz fallin' like white bitches in a scary movie

Ah, you know I don't know how to act

Get too close to niggaz, it's like:

""Protected by viper, stand back""

What's that, a bunch of niggaz you was killas demented

fuck y'all what me with this coward finish him descend it"
24-Mar-98,"""Second Round K.O.""",Canibus,LL Cool J,1998,
